track_id,album_id,track_name,track_duration_ms,track_spotify_url,track_preview_url,track_duration_display,original_track_name
0ceiaIt30eHqeKF29ddCOz,5iEKSTgVrrMzkylOncB0ON,(Let Me Be Your) Teddy Bear,320466,https://open.spotify.com/track/0ceiaIt30eHqeKF29ddCOz,https://p.scdn.co/mp3-preview/abda037b089c2075a636df05dbd75de2e6d9d02c?cid=bdda3e704a834f918700d9e4e4b07e63,5:20,(Let Me Be Your) Teddy Bear
0CGbof9amBnsNlRhZ8IY2H,50o7kf2wLwVmOTVYJOTplm,Wait - Remastered 2009,134720,https://open.spotify.com/track/0CGbof9amBnsNlRhZ8IY2H,,2:14,Wait
0CJDCshSHfXUxJubtd20Zw,5owTdQnJSxKgLgnz8ZgFmc,Big Boss Man (Bonus Track),225040,https://open.spotify.com/track/0CJDCshSHfXUxJubtd20Zw,https://p.scdn.co/mp3-preview/a8c25620996f672d9304d0d6c5fb4737fc3d451a?cid=bdda3e704a834f918700d9e4e4b07e63,3:45,Big Boss Man (Bonus Track)
0cJHpIkQV1QBpMUQ5EcbDo,74cQBDmkkzRBntR064f0SD,Shallow Be Thy Game,273933,https://open.spotify.com/track/0cJHpIkQV1QBpMUQ5EcbDo,https://p.scdn.co/mp3-preview/6f11020e53d6861d27c93c276f1bd6899ee72ca0?cid=bdda3e704a834f918700d9e4e4b07e63,4:33,Shallow Be Thy Game
0CKvH3vdAIQsjq2SxWwY2n,79EPGP6VA65fDFs4fgFpel,Something in the Air,346106,https://open.spotify.com/track/0CKvH3vdAIQsjq2SxWwY2n,https://p.scdn.co/mp3-preview/7761e839b25872d9bbdd9b1b1d06b2779a84675b?cid=bdda3e704a834f918700d9e4e4b07e63,5:46,Something in the Air
0CKxrnF9KplS21LTjkkqsW,2iCHyD9XHtA3vJFJIuXzqu,Already Gone - 2013 Remaster,255345,https://open.spotify.com/track/0CKxrnF9KplS21LTjkkqsW,https://p.scdn.co/mp3-preview/8ce43d8a15f20f71ed1153e4f05d4b2b73e8ff6c?cid=bdda3e704a834f918700d9e4e4b07e63,4:15,Already Gone
0cLvKgKkqlaJ9UajbitH4l,4vu7F6h90Br1ZtYYaqfITy,Fire Your Guns,173746,https://open.spotify.com/track/0cLvKgKkqlaJ9UajbitH4l,https://p.scdn.co/mp3-preview/abdc972fec6fb0d670ac7119df6b1552d6097d4e?cid=bdda3e704a834f918700d9e4e4b07e63,2:53,Fire Your Guns
0cly8Vmk7mRkAS1H3EVN2p,2jUEXh8KXATTGxJHwoeQsP,Sell Me A Coat,179000,https://open.spotify.com/track/0cly8Vmk7mRkAS1H3EVN2p,,2:59,Sell Me A Coat
0cMKrU2WjsdfeagFtZUQ13,5P2ZoNb6NJL7P5VexrQOeg,Someday After a While,268066,https://open.spotify.com/track/0cMKrU2WjsdfeagFtZUQ13,https://p.scdn.co/mp3-preview/53badd085c8796c8bb554500a5ec648724e52262?cid=bdda3e704a834f918700d9e4e4b07e63,4:28,Someday After a While
0cMlzsdIsxG3sXFI5JIFNm,7f2wzh1hY4adWEoTKIEX6W,(I'm A) Road Runner,295800,https://open.spotify.com/track/0cMlzsdIsxG3sXFI5JIFNm,https://p.scdn.co/mp3-preview/a7d951a4af6c1b9f1820d8f43cfb58e23fc90ba6?cid=bdda3e704a834f918700d9e4e4b07e63,4:55,(I'm A) Road Runner
0Cq7FAM0nK4xRXL5dSbGIS,3aXrkfZW8FzUDOU0RwQ401,Skies the Limit,225306,https://open.spotify.com/track/0Cq7FAM0nK4xRXL5dSbGIS,https://p.scdn.co/mp3-preview/867592038d7178fe3f4173126538c36c1873a0a8?cid=bdda3e704a834f918700d9e4e4b07e63,3:45,Skies the Limit
0Cr3z2gm7TXQ17Yq1zjV4I,21jUB9RqplD6OqtsTjKBnO,Pigs On The Wing 1 - 2011 Remaster,84506,https://open.spotify.com/track/0Cr3z2gm7TXQ17Yq1zjV4I,https://p.scdn.co/mp3-preview/46c2d40db2ac2103480875cbf7a60cd50a2df848?cid=bdda3e704a834f918700d9e4e4b07e63,1:24,Pigs On The Wing 1
0CT0tNJzauc6I4LUg9ESPw,7wzStEU2keGohEu8jpVMZW,A Great Day For Freedom - 2011 Remaster,257613,https://open.spotify.com/track/0CT0tNJzauc6I4LUg9ESPw,https://p.scdn.co/mp3-preview/dbd443461ac9b8e89010c1b8a909df0788b43bb4?cid=bdda3e704a834f918700d9e4e4b07e63,4:17,A Great Day For Freedom
0cTF7AXUMetMKhwxaHSN2K,7wo5CoLC07ZI8fiDNb712a,Midnight,332826,https://open.spotify.com/track/0cTF7AXUMetMKhwxaHSN2K,https://p.scdn.co/mp3-preview/94f483cb7f58d3a19ec668bebff0373fdef031ad?cid=bdda3e704a834f918700d9e4e4b07e63,5:32,Midnight
0cTJjrS2ghY861WjAvN8v8,4rsA0I5GWl2bnrQLI4ODVm,Let the Good Times Roll,262253,https://open.spotify.com/track/0cTJjrS2ghY861WjAvN8v8,https://p.scdn.co/mp3-preview/f95895742f95d10a79e4e83a0ac2bf74a19d12e3?cid=bdda3e704a834f918700d9e4e4b07e63,4:22,Let the Good Times Roll
0cuawnxMvyCBwZbXtaTxmY,1KVGLuPtrMrLlyy4Je6df7,Paper Cuts,246139,https://open.spotify.com/track/0cuawnxMvyCBwZbXtaTxmY,https://p.scdn.co/mp3-preview/4f95838bab98c867a607ef28c430ee0dbb4eae68?cid=bdda3e704a834f918700d9e4e4b07e63,4:6,Paper Cuts
0cuiu7deGyY5kSKZgMEyaJ,51B7LbLWgYLKBVSpkan8Z7,Earlybird - 2013 Remaster,179943,https://open.spotify.com/track/0cuiu7deGyY5kSKZgMEyaJ,https://p.scdn.co/mp3-preview/365086f0b85efc908398dc829971e65ffe70a9ff?cid=bdda3e704a834f918700d9e4e4b07e63,2:59,Earlybird
0cv2LgkvEoQiGgFWcZaAMA,43otFXrY0bgaq5fB3GrZj6,We Turn Red,200466,https://open.spotify.com/track/0cv2LgkvEoQiGgFWcZaAMA,https://p.scdn.co/mp3-preview/48a51df6c76e6f3673b1feeda80ed50863eb3468?cid=bdda3e704a834f918700d9e4e4b07e63,3:20,We Turn Red
0cVDbVhTxULLt5Pt7Ws8yp,4Q7cPyiP8cMIlUEHAqeYfd,Sick Again - Remaster,282320,https://open.spotify.com/track/0cVDbVhTxULLt5Pt7Ws8yp,https://p.scdn.co/mp3-preview/662dbf981fa64c27c43844ec7f1153d3650a936a?cid=bdda3e704a834f918700d9e4e4b07e63,4:42,Sick Again
0CxcNZFoAULGLih1zDG1o2,36BIYdP4WtviD9Ngqc4SK5,Something Happened To Me Yesterday,295053,https://open.spotify.com/track/0CxcNZFoAULGLih1zDG1o2,,4:55,Something Happened To Me Yesterday
0CZQNI3Evb4Nd8GeU49LFj,7xl50xr9NDkd3i2kBbzsNZ,C'mon Girl,228666,https://open.spotify.com/track/0CZQNI3Evb4Nd8GeU49LFj,https://p.scdn.co/mp3-preview/ef7dc02f0cecc4fe91687493725080fa3e5effe6?cid=bdda3e704a834f918700d9e4e4b07e63,3:48,C'mon Girl
0d0fbLdm4bxWsmga3kFA7a,6GnzWMUyNEETCq6eftD98v,We'll Run Away (Mono),122746,https://open.spotify.com/track/0d0fbLdm4bxWsmga3kFA7a,,2:2,We'll Run Away (Mono)
0D58ERdLBDRgT86BPnH8ps,5EyIDBAqhnlkAHqvPRwdbX,Black Dog - Remaster,295386,https://open.spotify.com/track/0D58ERdLBDRgT86BPnH8ps,https://p.scdn.co/mp3-preview/78dd352fdbe8d2a867b72c5a71ac44ef6a462ab4?cid=bdda3e704a834f918700d9e4e4b07e63,4:55,Black Dog
