date,track_id,track_popularity
2023-12-28,0eZvCQAK6hsPSlcfqzREvB,50
2023-12-28,0F4vvLVrvjup1mCIlZcvmw,27
2023-12-28,0f9vIwInR4wbcigkfRvpWD,11
2023-12-28,0Fb7NBbIRP7Z6SV3BzMvhM,24
2023-12-28,0fcCx79KPvLxc4Ts8bKtEm,18
2023-12-28,0FcLTRBt3TywdCqz81ANeU,17
2023-12-28,0FfFyUDYQBLoF325OSi1KP,18
2023-12-28,0FfVBqXVQrXUxgWKh9V41b,33
2023-12-28,0FfZBWDv7p63yj6oh2I2PS,50
2023-12-28,0fHqE1z5xYm8htOWED8QA2,35
2023-12-28,0fKq39RZ7eb1Uku3LVvuyJ,26
2023-12-28,0FNgoOlsJMGIDVoEEtheDL,21
2023-12-28,0Fq0wrbfcNlihl5AICRqrG,41
2023-12-28,0fQCF1ZWThlibeCMT0Oq5F,31
2023-12-28,0fskIL9GglXEAhfC3einhM,34
2023-12-28,0FSYTwx4rU8zXbDotK08MN,34
2023-12-28,0FT9hq1HZ46TdMIO0pnHuR,22
2023-12-28,0ftgUlEWqv0FLtu3yRyUBZ,28
2023-12-28,0FtkSxJgLF7AEthLkXJX6o,13
2023-12-28,0FVKByUecVvVnldBEGoLZW,33
2023-12-28,0fVwPhZMTlwREoSiMGmVQt,36
2023-12-28,0FWmC11IDbq8T2ZTOnnBiL,41
2023-12-28,0fX9pA3TukbkWCEdNoyysH,42
2023-12-28,0fZu9ojDt6XZLDg6dos2EM,41
2023-12-28,0g0QTaRwhYDhF2O5nMbU0b,32
2023-12-28,0G1BEi8ByngMCJqcPnDACw,61
2023-12-28,0g1NjFyzJ6FFEOTsuiJLdv,54
2023-12-28,0g1NRq4KmbEYgzaPF7G6CG,46
2023-12-28,0G21yYKMZoHa30cYVi1iA8,83
2023-12-28,0g8gKLBFY1Y16Zyrc9fuKA,45
2023-12-28,0Ga3szKsJOeZ0eAfydm1WV,51
2023-12-28,0gaIjeyulJy8SgepdMwYPn,27
2023-12-28,0gd50I2gKioJ59C827EdAY,54
2023-12-28,0GDeU5t1qHrcd191UOBAL1,40
2023-12-28,0GDuL9TCO41PgsrKWBSGlm,49
2023-12-28,0gdZVon1sEfFNVVrB0MzxQ,19
2023-12-28,0Gf7KHyE7Okqe1huhCQ0oB,15
2023-12-28,0GIDR7iLJgV5fJwdcv8TXo,59
2023-12-28,0GIEBMVvKASmfttB3p0M28,6
2023-12-28,0gJmT4VMZd6iYDvqfOou0A,42
2023-12-28,0Gjq7axbGUh8ZbCeoLFTKK,31
2023-12-28,0Gk1J3I5oDUHQNqwpOTNwP,12
2023-12-28,0gPVwXtUoT1Whc9xtd09PF,25
2023-12-28,0GRBFjza23Im7Xb16c9AaK,57
2023-12-28,0GRvnYqlnh7ttq9NS6s3Ta,55
2023-12-28,0GSDkjD1yuhM5YUICzQ2V5,33
2023-12-28,0gTFpwgeMaz62EgCjpHbJL,12
2023-12-28,0gTRROuntlrPQ64W3J2Etv,59
2023-12-28,0GTZdFCyqZ0gTItkBaiE3i,33
2023-12-28,0gV7x31javfkoEOKXR4vH6,35
2023-12-28,0GVzmHIvC4FaHgx9ePxVTY,35
2023-12-28,0gWvVB4bGvADocoPMEDy3K,63
2023-12-28,0gWvwq74U73oTVDmFn4TCE,32
2023-12-28,0GxQN22aKRw9LjNUEW29OU,30
2023-12-28,0gy2Eqkf9dPtlkoCC3y7YA,29
2023-12-28,0gyVV3DLy7wrShO5oNkImO,33
2023-12-28,0gzqZ9d1jIKo9psEIthwXe,75
2023-12-28,0h3A3hdDq762DzIOKUoF21,55
2023-12-28,0h7tNrw7CLaR1J0M4Kfwms,25
2023-12-28,0H8PXIWpXF6oTdlhRgSA6Q,19
2023-12-28,0hcLI60oIDQks2HlfZuDnY,36
2023-12-28,0hFT2WXbratYXw9erIQ160,30
2023-12-28,0HGKG0QVXHMllRuPWzVlpp,28
2023-12-28,0hhaT6xdXdf9927O6TRjHn,19
2023-12-28,0hHMgsprkLZxorrFQLL0Kn,20
2023-12-28,0hHNc05eoJtp2q7jVfY2s4,22
2023-12-28,0hJw0cL25GXFUlm9WtiJNz,24
2023-12-28,0hKRSZhUGEhKU6aNSPBACZ,63
2023-12-28,0hlniElQOr5tvSKBaSpAQi,65
2023-12-28,0HMdKbwQJuAf6gvO6iBsJk,3
2023-12-28,0hnlRgTh80b1emNnM0jmwt,45
2023-12-28,0HoKaiaaujIwyFBTAV0XVd,22
2023-12-28,0hSSAkmhJWealZ3PABqJmX,34
2023-12-28,0huHTieLTlluurvasQLB74,52
2023-12-28,0hUit24g1EIoATdKYWUiRj,61
2023-12-28,0HwXmm9QsRiCbyWnwMIwnZ,44
2023-12-28,0hwxPHS9l7oHIQ5nFllsct,31
2023-12-28,0HznRAeJLyGtyLZgecDiLI,47
2023-12-28,0I09Rf6wpA9i8JmjMNqGto,13
2023-12-28,0i0JDuEBaKLoIJXoFcKIGh,11
2023-12-28,0i2zIZLOQqZ6oJhftXnyR5,3
2023-12-28,0I49tXyAynU0nvLsbxuHby,21
2023-12-28,0I4oWbp74kI1fXAFVnfMux,21
2023-12-28,0i6ivkDXbr1hLLUFqbwV8Y,19
2023-12-28,0i8ztWwkzwBJxviDMqYdMA,56
2023-12-28,0IaCjyvvpkrlGnsBPeZ25j,27
2023-12-28,0ibTNi7CPhVoWE6xVjRaTR,21
2023-12-28,0idGehcPzwcNPjWf1eyOOh,3
2023-12-28,0iGOltx5VYdV5FjhiuXKji,10
2023-12-28,0ih7vuNB91mvoJ7D6raq0q,43
2023-12-28,0IhHHMznSjZ52IpXIU1A9D,43
2023-12-28,0iKRf868w4SYEBDILQu8ob,45
2023-12-28,0iLcnS82ASBDJOADMzo57x,28
2023-12-28,0Ilvyz0S7QM7kWZpgWYoCl,28
2023-12-28,0ilYQaUbcTTo59vOffttHK,13
2023-12-28,0IPI7yil60RAOUhlid7GmN,30
2023-12-28,0iRSIoZXALcuAXVSN8pZ31,18
2023-12-28,0iSqJRAsluE0ZJHk1SsobS,27
2023-12-28,0itiZt36Hcqft4KMml7Dz8,40
2023-12-28,0itNMuBHye9fu392b4e9oa,68
2023-12-28,0ITvGtPhcFwdQnKtlabYpS,29
2023-12-28,0iUfm46sMRas6TeNuMx8kh,29
2023-12-28,0ivarc4umuzp5I3J7lPDJc,49
2023-12-28,0IW33PjCiwBKH4IGASRzrm,42
2023-12-28,0iWHMJwpVl46UJ2KZ2IEKt,36
2023-12-28,0ixjGEJjAVUIHQex2I2opM,34
2023-12-28,0IxtJOcnoS2DPmBfV2HDfW,45
2023-12-28,0iXVvzFN2sdHeJeW3LDbTv,12
2023-12-28,0IXXfdtU18zbDj7F0nAQap,12
2023-12-28,0IxxqsYBcCHEQ1HqLYJnwx,49
2023-12-28,0IY5CAhDEukm1hf28gDf9W,26
2023-12-28,0iz2Pm0bYYrHcuFletpNPT,33
2023-12-28,0j0y0KnYpbNSiJ0YBwRx9E,46
2023-12-28,0j0ZnGtPwkGTxjNCu0xMt8,26
2023-12-28,0J3CHAStO3pNGTnYnxKZod,49
