track_id,uri,track_href,analysis_url,duration_ms,time_signature,danceability,energy,track_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type
055xQyAJgedjnG98vBnO88,spotify:track:055xQyAJgedjnG98vBnO88,https://api.spotify.com/v1/tracks/055xQyAJgedjnG98vBnO88,https://api.spotify.com/v1/audio-analysis/055xQyAJgedjnG98vBnO88,265404,4,0.402,0.918,4,-6.915,1,0.0477,0.0547,0.00992,0.159,0.864,191.102,audio_features
05BcisbhFsmVpTZ0kGD7gK,spotify:track:05BcisbhFsmVpTZ0kGD7gK,https://api.spotify.com/v1/tracks/05BcisbhFsmVpTZ0kGD7gK,https://api.spotify.com/v1/audio-analysis/05BcisbhFsmVpTZ0kGD7gK,264267,4,0.471,0.843,7,-5.702,1,0.041,0.636,0.0402,0.773,0.632,156.695,audio_features
05bNuygSyh9WlJTRepNiDp,spotify:track:05bNuygSyh9WlJTRepNiDp,https://api.spotify.com/v1/tracks/05bNuygSyh9WlJTRepNiDp,https://api.spotify.com/v1/audio-analysis/05bNuygSyh9WlJTRepNiDp,264208,4,0.732,0.653,7,-7.804,0,0.0427,0.0158,0.295,0.0851,0.848,178.058,audio_features
05edLi0D4NO0guk9H4cn5k,spotify:track:05edLi0D4NO0guk9H4cn5k,https://api.spotify.com/v1/tracks/05edLi0D4NO0guk9H4cn5k,https://api.spotify.com/v1/audio-analysis/05edLi0D4NO0guk9H4cn5k,284867,4,0.523,0.939,0,-6.849,1,0.0481,4.12e-05,0.781,0.0962,0.352,116.999,audio_features
05eJthbLhxvnWvB3XF9HaQ,spotify:track:05eJthbLhxvnWvB3XF9HaQ,https://api.spotify.com/v1/tracks/05eJthbLhxvnWvB3XF9HaQ,https://api.spotify.com/v1/audio-analysis/05eJthbLhxvnWvB3XF9HaQ,333200,4,0.607,0.778,7,-5.739,1,0.0422,0.45,0.0,0.469,0.665,95.397,audio_features
05EpBNu0hokMsuNc62SAAz,spotify:track:05EpBNu0hokMsuNc62SAAz,https://api.spotify.com/v1/tracks/05EpBNu0hokMsuNc62SAAz,https://api.spotify.com/v1/audio-analysis/05EpBNu0hokMsuNc62SAAz,186840,4,0.456,0.253,5,-16.162,1,0.032,0.449,0.018,0.0986,0.272,124.933,audio_features
05F72NVQDS2CWrIAee7R4g,spotify:track:05F72NVQDS2CWrIAee7R4g,https://api.spotify.com/v1/tracks/05F72NVQDS2CWrIAee7R4g,https://api.spotify.com/v1/audio-analysis/05F72NVQDS2CWrIAee7R4g,320272,4,0.57,0.655,9,-5.785,1,0.0319,0.0302,0.00128,0.0918,0.476,157.973,audio_features
05gjrT0jcQ0fRkHuYgJTdR,spotify:track:05gjrT0jcQ0fRkHuYgJTdR,https://api.spotify.com/v1/tracks/05gjrT0jcQ0fRkHuYgJTdR,https://api.spotify.com/v1/audio-analysis/05gjrT0jcQ0fRkHuYgJTdR,267080,4,0.412,0.793,9,-4.592,1,0.0336,0.000228,0.251,0.0871,0.816,83.346,audio_features
05icsRv9AUQHO7GaJszvDx,spotify:track:05icsRv9AUQHO7GaJszvDx,https://api.spotify.com/v1/tracks/05icsRv9AUQHO7GaJszvDx,https://api.spotify.com/v1/audio-analysis/05icsRv9AUQHO7GaJszvDx,225533,4,0.59,0.881,2,-5.167,1,0.0393,0.00382,1.65e-05,0.0861,0.652,118.023,audio_features
05KMOZ0hOekAoXmo8RZN5R,spotify:track:05KMOZ0hOekAoXmo8RZN5R,https://api.spotify.com/v1/tracks/05KMOZ0hOekAoXmo8RZN5R,https://api.spotify.com/v1/audio-analysis/05KMOZ0hOekAoXmo8RZN5R,248721,4,0.498,0.746,2,-8.958,0,0.0471,0.00414,0.0249,0.108,0.561,110.815,audio_features
